# Bin  Mean  StdDev
1  58.53  8.16879
2  120.03  9.81576
3  161.93  12.4204
4  153.38  13.3849
5  100.91  9.3788
6  46.89  6.4092
7  33.8  5.56058
8  75.39  8.40701
9  136.47  11.7698
10  164.9  11.9092
11  142.54  13.354
12  83.56  9.00036
13  37.04  5.58913
14  41.69  6.17041
15  93.97  10.6541
16  150.59  11.5344
17  166.09  11.1965
18  128.59  11.5725
19  65.68  6.87587
20  31.79  5.76246
21  51.93  6.38632
22  110.6  10.5205
23  161.73  12.6197
24  160.03  12.4141
25  111.2  11.131
26  50.88  6.28217
27  32.59  4.73306
28  67.11  8.0869
29  126.52  11.2307
30  166.24  10.6519
31  146.25  11.1905
32  92.88  10.4022
33  40.65  6.55191
34  37.08  5.82869
35  82.24  8.8962
36  143.81  12.3399
37  167.06  11.2515
38  134.3  10.6747
39  74.39  8.01735
40  33.66  6.2245
41  45.91  7.14436
42  102.54  9.96034
43  157.11  12.5403
44  163.65  12.017
45  118.14  10.7126
46  57.52  7.83515
47  31.98  5.85146
48  58.02  7.74852
49  117.08  11.2416
50  163.13  12.5257
